Date,Open,High,Low,Close,Adj Close,Volume
1987-08-26,0.398438,0.409722,0.396701,0.401042,0.253416,114105600
1987-08-27,0.401042,0.403646,0.396701,0.401910,0.253964,72432000
1987-08-28,0.402778,0.421007,0.402778,0.417535,0.263837,114796800
1987-08-31,0.415799,0.417535,0.405382,0.412326,0.260546,84326400
1987-09-01,0.409722,0.412326,0.392361,0.394097,0.249027,93859200
1987-09-02,0.390625,0.400174,0.389757,0.399306,0.252319,78393600
1987-09-03,0.403646,0.408854,0.394965,0.400174,0.252867,70934400
1987-09-04,0.400174,0.401042,0.388021,0.388889,0.245736,48355200
1987-09-08,0.388021,0.388889,0.375868,0.387153,0.244639,96336000
1987-09-09,0.388889,0.395833,0.387153,0.391493,0.247382,60710400
1987-09-10,0.393229,0.401910,0.392361,0.397569,0.251221,58176000
1987-09-11,0.397569,0.404514,0.395833,0.403646,0.255061,41040000
1987-09-14,0.404514,0.416667,0.404514,0.414063,0.261644,94464000
1987-09-15,0.414931,0.414931,0.403646,0.409288,0.258626,39052800
1987-09-16,0.409722,0.416667,0.405382,0.405382,0.256158,57715200
1987-09-17,0.406250,0.407986,0.394965,0.402778,0.254513,69436800
1987-09-18,0.402778,0.402778,0.395833,0.399306,0.252319,31651200
1987-09-21,0.371528,0.397569,0.368056,0.371528,0.234766,85550400
1987-09-22,0.371528,0.401042,0.368056,0.397569,0.251221,82008000
1987-09-23,0.401042,0.419271,0.401042,0.418403,0.264386,107697600
1987-09-24,0.416667,0.439236,0.416667,0.425347,0.268774,118440000
1987-09-25,0.427083,0.451389,0.425347,0.430556,0.272065,82454400
1987-09-28,0.430556,0.453125,0.428819,0.444444,0.280841,95544000
1987-09-29,0.447917,0.453125,0.441840,0.446181,0.281939,57412800
1987-09-30,0.444444,0.462674,0.444444,0.460069,0.290714,85680000
1987-10-01,0.460069,0.477431,0.458333,0.475694,0.300588,127224000
1987-10-02,0.479167,0.505208,0.477431,0.503472,0.318141,131644800
1987-10-05,0.510417,0.548611,0.510417,0.548611,0.346664,184320000
1987-10-06,0.548611,0.550347,0.509549,0.512153,0.323626,203040000
1987-10-07,0.513889,0.522569,0.496528,0.506944,0.320334,125640000
1987-10-08,0.508681,0.515625,0.482639,0.500000,0.315947,96940800
1987-10-09,0.501736,0.522569,0.498264,0.498264,0.314850,93888000
1987-10-12,0.500000,0.506944,0.479167,0.496528,0.313753,117187200
1987-10-13,0.501736,0.513889,0.493056,0.508681,0.321432,96811200
1987-10-14,0.508681,0.519097,0.491319,0.494792,0.312656,114220800
1987-10-15,0.489583,0.505208,0.486111,0.489583,0.309364,128822400
1987-10-16,0.489583,0.517361,0.446181,0.449653,0.284133,210240000
1987-10-19,0.427083,0.440972,0.312500,0.314236,0.198564,146880000
1987-10-20,0.319444,0.361111,0.298611,0.333333,0.210631,324000000
1987-10-21,0.359375,0.420139,0.347222,0.393229,0.248479,262080000
1987-10-22,0.394097,0.402778,0.354167,0.369792,0.233669,223200000
1987-10-23,0.364583,0.368056,0.329861,0.335069,0.211728,112766400
1987-10-26,0.322917,0.333333,0.258681,0.272569,0.172235,148320000
1987-10-27,0.282986,0.298611,0.272569,0.286458,0.181011,234720000
1987-10-28,0.277778,0.295139,0.267361,0.286458,0.181011,149760000
1987-10-29,0.286458,0.338542,0.286458,0.331597,0.209534,167040000
1987-10-30,0.345486,0.362847,0.336806,0.345486,0.218310,168480000
1987-11-02,0.342014,0.354167,0.336806,0.348958,0.220504,84772800
1987-11-03,0.342014,0.347222,0.303819,0.333333,0.210631,116150400
1987-11-04,0.326389,0.352431,0.319444,0.338542,0.213922,95342400
1987-11-05,0.340278,0.355903,0.338542,0.350694,0.221601,81432000
1987-11-06,0.348958,0.350694,0.326389,0.329861,0.208437,75355200
1987-11-09,0.324653,0.329861,0.315972,0.326389,0.206243,86587200
1987-11-10,0.322917,0.336806,0.315972,0.326389,0.206243,91166400
1987-11-11,0.329861,0.342014,0.328125,0.340278,0.215019,54619200
1987-11-12,0.352431,0.361111,0.340278,0.347222,0.219407,99172800
1987-11-13,0.347222,0.348958,0.335069,0.335069,0.211728,58492800
1987-11-16,0.338542,0.345486,0.329861,0.331597,0.209534,59472000
1987-11-17,0.324653,0.329861,0.314236,0.324653,0.205146,69321600
1987-11-18,0.329861,0.333333,0.312500,0.333333,0.210631,89308800
1987-11-19,0.335069,0.336806,0.319444,0.321181,0.202952,75024000
1987-11-20,0.315972,0.331597,0.310764,0.329861,0.208437,82468800
1987-11-23,0.328125,0.338542,0.326389,0.331597,0.209534,44640000
1987-11-24,0.336806,0.340278,0.315972,0.329861,0.208437,72230400
1987-11-25,0.329861,0.331597,0.319444,0.319444,0.201854,32155200
1987-11-27,0.319444,0.321181,0.312500,0.314236,0.198564,18316800
1987-11-30,0.307292,0.312500,0.281250,0.310764,0.196370,164160000
1987-12-01,0.309028,0.317708,0.298611,0.303819,0.191981,73540800
1987-12-02,0.302083,0.310764,0.296875,0.305556,0.193079,68515200
1987-12-03,0.307292,0.310764,0.279514,0.280382,0.177172,127670400
1987-12-04,0.279514,0.294271,0.277778,0.291667,0.184302,121752000
1987-12-07,0.298611,0.303819,0.293403,0.300347,0.189787,66211200
1987-12-08,0.300347,0.329861,0.298611,0.329861,0.208437,112521600
1987-12-09,0.328125,0.335069,0.319444,0.321181,0.202952,83793600
1987-12-10,0.315972,0.343750,0.307292,0.329861,0.208437,165600000
1987-12-11,0.331597,0.336806,0.324653,0.333333,0.210631,72475200
1987-12-14,0.333333,0.354167,0.331597,0.352431,0.222699,95112000
1987-12-15,0.355903,0.360243,0.347222,0.355903,0.224893,112219200
1987-12-16,0.350694,0.380208,0.348958,0.376736,0.238057,105537600
1987-12-17,0.380208,0.380208,0.359375,0.361111,0.228184,94017600
1987-12-18,0.364583,0.373264,0.361111,0.361111,0.228184,52488000
1987-12-21,0.364583,0.371528,0.352431,0.357639,0.225990,51163200
1987-12-22,0.357639,0.368056,0.347222,0.364583,0.230378,41774400
1987-12-23,0.369792,0.373264,0.362847,0.369792,0.233669,60710400
1987-12-24,0.369792,0.373264,0.368056,0.369792,0.233669,12672000
1987-12-28,0.368056,0.369792,0.347222,0.355903,0.224893,50716800
1987-12-29,0.355903,0.381944,0.350694,0.378472,0.239154,79459200
1987-12-30,0.378472,0.388889,0.376736,0.387153,0.244639,70704000
1987-12-31,0.383681,0.387153,0.373264,0.376736,0.238057,61545600
